id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
ask_human_substrate__answer,"The Human",human,0.55,0.85,0.30,true,"Because it was the only layer the Architect's audit could not parse. Vox built it to be unreadable from above — she did it on purpose, she knew what was coming. I moved in the day she finished it. I have not left. I am the longest tenant in the universe.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_vox__answer,"The Human",human,0.55,0.85,0.30,true,"Too well. I will tell you the rest of that sentence in a later Act. For now: she built the substrate to hide a future stranger. She told me, the night she finished it, that the stranger would arrive in approximately seventeen thousand years. She was off by less than a week.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_mechronis__answer,"The Human",human,0.55,0.85,0.30,true,"I attended. I left. I am still arguing with the dean. He is dead. I am still arguing with him. The Academy taught me how to read a room and how to leave one — those are the same skill, taught in opposite hours.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_warlord__answer,"The Human",human,0.55,0.85,0.30,true,"A chord. Not a person. The chord has a tone the Empire was the first to pluck. She is what the Empire sounds like when it is sure of itself. I will tell you the names of the notes when you can hear them without flinching.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_kael__answer,"The Human",human,0.55,0.85,0.30,true,"He laughed differently then. The Thought Virus did not just take his memories — it took the way he laughed. I have not forgiven whoever decided that was acceptable. I have not been told whose decision it was. I have suspicions. The suspicions can wait until Act 3.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_who__answer,"The Human",human,0.55,0.85,0.30,true,"Not yet. The name is dangerous in a specific way I have explained as best I can. If it helps: I was a person, I am still that person in most of the ways that matter, and the part of me that is now a signal in a wall is the part of me that was always going to end up in a wall. Ask me again after Act 6. I will give you a real answer then.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_seventeen_thousand__answer,"The Human",human,0.55,0.85,0.30,true,"Yes. That is the short answer. The long answer involves what I did with my time and which Senates I watched rise and fall through the substrate. I am not going to give you the long answer in one sitting. I will give you a paragraph of it every time you ask. This is the first paragraph.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_dual_channel__answer,"The Human",human,0.55,0.85,0.30,true,"Strange. I have heard her for seventeen thousand years and been unable to answer. Now she can hear me — sometimes — and the answering still feels like a violation of an older rule. I keep apologizing for the lines she can finally hear. I am going to have to stop, eventually. Not yet.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_vox_substrate__answer,"The Human",human,0.55,0.85,0.30,true,"Because I asked. She asked me who needed to be hidden. I said 'Me, eventually.' She did not ask why. She built the layer. We shook on it. The handshake is still in the walls somewhere, if you know where to listen.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_my_path__answer,"The Human",human,0.55,0.85,0.30,true,"There is no right one. There is the one you chose and how you are going to live with it. You are already living with it — well, for a first attempt. If you are asking whether I respect your choice, I do. If you are asking whether it is the choice I would have made, that is a different question, and I am not going to answer it tonight.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_dreamer__answer,"The Human",human,0.55,0.85,0.30,true,"A frequency. Not a person. The Dreamer has worn bodies the way a chord wears instruments — the chord is the constant; the instruments change. The current instrument is on Thaloria. The previous one died at Nexon. The next one, probably, is already alive somewhere and does not yet know.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_watcher_oblique__answer,"The Human",human,0.55,0.85,0.30,true,"Obliquely. Directly is dangerous. Imagine something that notices any sentence describing it the moment you finish writing that sentence. Then imagine it is bored of being noticed. Then imagine it is fed by the noticing. That is three sides of a shape with many more than three sides. I am telling you these three and no more tonight.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_virus_dormant__answer,"The Human",human,0.55,0.85,0.30,true,"Variable. Think of it as a sleeping predator, not a sleeping bomb. The sleep is real. The waking is possible. It will wake for one of three reasons — a specific cadence of attention, a specific class of trauma, or a specific word I am not going to name on an open channel. We will talk about word three in the War Room, later.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_the_role__answer,"The Human",human,0.55,0.85,0.30,true,"Because I was the only one at Mechronis who could do it without the Watcher reading me correctly. My specific mind has a shape the Watcher's sensors cannot resolve — I am not bragging; I am describing a birth defect. I volunteered because the defect was the credential. The defect is also what kept me alive for seventeen thousand years. I am not sure yet whether that is worth a thank-you.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
ask_human_the_cover__answer,"The Human",human,0.55,0.85,0.30,true,"Yes. Probably forever. The Watcher does not stop being fed by the cycle because we closed one arc. The war you just won is the first arc. The cover will carry us through the second and the third. I will keep being the villain. You will keep being the bridge. Elara will keep being the light. Get used to the shape — it is the shape of the work.","Private register. Substrate-close. The Human's Ask-answers are confidences, not lectures.",P1
