id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
act1_little_meme__humanPreMatch,"The Human",human,0.55,0.85,0.30,true,"Memes are the oldest predators. They learned to live inside us before we had words for inside.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_meme__humanPostMatchWin,"The Human",human,0.55,0.85,0.30,true,"Memes don't die. They just sleep. You bought yourself the rest of the recess.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_meme__humanPostMatchLoss,"The Human",human,0.55,0.85,0.30,true,"You hummed it on the walk home. Don't beat yourself up. Everyone hums it.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_collector__humanPreMatch,"The Human",human,0.55,0.85,0.30,true,"Bottlers always tell you they want to remember. They never tell you what they plan to do with the bottle later.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_collector__humanPostMatchWin,"The Human",human,0.55,0.85,0.30,true,"Good. Some children grow into the Collectors. Some grow out. You bought him the option.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_collector__humanPostMatchLoss,"The Human",human,0.55,0.85,0.30,true,"He has your specific attention now. That's his favorite flavor. Don't give him seconds.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_watcher__humanPreMatch,"The Human",human,0.55,0.85,0.30,true,"Watchers don't see. They record. The seeing is a thing they do later, in a room you can't enter.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_watcher__humanPostMatchWin,"The Human",human,0.55,0.85,0.30,true,"You won and the recording survived. Both are true. Both are how the game ends.","Reflective, match-side framing. One step outside the fight.",P1
act1_little_watcher__humanPostMatchLoss,"The Human",human,0.55,0.85,0.30,true,"She didn't gloat. Watchers never do. The gloat would interrupt the take.","Reflective, match-side framing. One step outside the fight.",P1
act1_the_detective_student__humanPreMatch,"The Human",human,0.55,0.85,0.30,true,"Before the trench coat. Before the scar. Before he learned that some questions cost more than the answers do.","Reflective, match-side framing. One step outside the fight.",P1
act1_the_detective_student__humanPostMatchWin,"The Human",human,0.55,0.85,0.30,true,"I let him win this match in three timelines. I lost the fourth on purpose. We don't talk about it.","Reflective, match-side framing. One step outside the fight.",P1
act1_the_detective_student__humanPostMatchLoss,"The Human",human,0.55,0.85,0.30,true,"He'll send a card. He sends cards. He'll be wearing the trench coat by then.","Reflective, match-side framing. One step outside the fight.",P1
act1_iron_lion_expelled__humanPreMatch,"The Human",human,0.55,0.85,0.30,true,"Iron Lion is not a man. He is a refusal in the shape of a man. The shape is generous.","Reflective, match-side framing. One step outside the fight.",P1
