asset_id,name,category,review_gate,resolution,priority,palette,composed_prompt
fleet_scout,"Scout",fleet_silhouette,C,512x512,P1,"matte grey, cyan running-light","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, cyan running-light

Token portrait of a slim dart-shaped recon skimmer in 3/4 hero view on transparent background. Camera: 50mm flat, slight elevated angle of about 15 degrees, no perspective distortion, hull centred in frame with a tight margin of negative space at all edges so the silhouette reads at 64px. Form-language: knife-thin fuselage, twin sharply-swept wings, an oversized clear sensor-dome at the nose dwarfing the cockpit, minimalist hull plating with no extraneous greebling. Lighting: single key from upper-front-left as flat directional light to define the form, no rim, no fill — silhouette must read first. Materials: matte dark grey hull paint, one cyan running-light pinpoint on the dome's underside as the only saturated pixel. Mood: eye.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
fleet_trader,"Trader",fleet_silhouette,C,512x512,P1,"matte grey, mustard-yellow cargo-seal stripe","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, mustard-yellow cargo-seal stripe

Token portrait of a blocky rounded civilian freighter in 3/4 hero view on transparent background. Camera: 50mm flat, slight elevated angle of 15 degrees, hull centred with even margins so the form reads at 64px. Form-language: rounded utility hull with visible modular cargo pods slung in a row under the spine, two stubby low-thrust engine nacelles aft, a small civilian bridge bubble forward, no weapons, no military aggression in the line. Lighting: single flat key from upper-front-left, no rim, no fill — wear and personality in the silhouette only. Materials: matte dark grey hull paint scuffed at the cargo-pod join lines, one mustard-yellow cargo-seal stripe wrapping the central cargo-pod as the saturated accent. Mood: utility.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
fleet_frigate,"Frigate",fleet_silhouette,C,512x512,P1,"matte grey, hazard-orange warning stripe at the nose","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, hazard-orange warning stripe at the nose

Token portrait of a narrow knife-hulled frigate in 3/4 hero view on transparent background. Camera: 50mm flat, 15-degree elevated angle, hull centred with tight margins for 64px legibility. Form-language: long knife-thin hull with a single oversized rail-gun spine running the full forward dorsal length, two compact angular missile racks port and starboard amidships, a single sharp-prowed bridge tower set well back, every line forward-pointing and aggressive. Lighting: single flat key from upper-front-left, no rim, no fill — silhouette must communicate menace at thumbnail. Materials: matte dark grey hull paint, one hazard-orange warning stripe at the very tip of the rail-gun nose as the saturated accent, hull seams subtly catching the key light. Mood: hunter.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
fleet_cruiser,"Cruiser",fleet_silhouette,C,512x512,P1,"matte grey, blood-red heat-vent trim","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, blood-red heat-vent trim

Token portrait of a mid-size capital cruiser in 3/4 hero view on transparent background. Camera: 50mm flat, 15-degree elevated angle, hull centred with tight margins for 64px legibility. Form-language: squat dense hull silhouette built around a single oversized centreline battery turret rotated slightly off-axis, layered armour plating in stepped overlapping tiers along the broadside, a forward bridge tower kept low and protected, no slim or graceful lines anywhere — pure line-of-battle posture. Lighting: single flat key from upper-front-left, no rim, no fill — armour mass must dominate. Materials: matte dark grey hull paint, blood-red heat-vent trim glowing faintly along the engine block at the stern as the saturated accent, armour plates carrying subtle weld-seams and battle-scuff. Mood: line-of-battle.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
fleet_carrier,"Carrier",fleet_silhouette,C,512x512,P1,"matte grey, approach-green deck-light array","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, approach-green deck-light array

Token portrait of a long flat-decked fleet carrier in 3/4 hero view on transparent background. Camera: 50mm flat, 15-degree elevated angle so the parallel flight decks are clearly visible, hull centred with tight margins for 64px legibility. Form-language: long horizontal hull dominated by twin parallel flight-deck strips running the full length, large hangar mouths gaping open at both bow and stern, a tall narrow command tower offset deliberately to the starboard side leaving the deck spans uninterrupted, no broadside batteries — capacity over violence. Lighting: single flat key from upper-front-left, no rim, no fill — the flat deck silhouette must dominate. Materials: matte dark grey hull paint, an approach-green deck-light array running the centreline of both flight-deck strips as the saturated accent, deck surface subtly textured with arrestor-strip grooves. Mood: lifter.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
fleet_flagship,"Flagship",fleet_silhouette,C,512x512,P1,"matte grey, gold prow insignia","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: matte grey, gold prow insignia

Token portrait of an oversized flagship command dreadnought in 3/4 hero view on transparent background. Camera: 50mm flat, 15-degree elevated angle, hull centred with tight margins for 64px legibility. Form-language: massive deliberate hull with a heavy forward prow ram, an asymmetrical multi-tiered bridge pagoda rising tall on the dorsal spine, three layered secondary gun tiers stacked along the broadside, a single ceremonial banner-mast extending vertically above the highest pagoda — clearly meant to be seen from kilometres. Lighting: single flat key from upper-front-left, no rim, no fill — the silhouette must read as throne, not weapon. Materials: matte dark grey hull paint, a single gold prow insignia glowing softly from inset relief as the saturated accent, banner-mast carrying a furled cloth detail at the top. Mood: throne.

Negative: no background, no motion blur, no pilot figures, no UI overlays, no text on hull"
market_pirate_raider,"Pirate Raider",pirate_portrait,C,768x768,P1,"rust-red, soot-black, salvage-yellow warning paint, one cold blue running-light","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: rust-red, soot-black, salvage-yellow warning paint, one cold blue running-light

Square 1:1 portrait of a battered bulk-carrier repainted by hand into a pirate raider, drifting parked in empty trade-lane space. Camera: medium telephoto at ~85mm equivalent, 3/4 broadside hero view, slight low angle so the bolted-on gun reads silhouetted against starfield. Lighting: cold 4500K starfield ambient as base, no key, one cold-blue 6500K running-light pinpoint as the only practical source on the hull, deep void in the negative space — the ship looks abandoned-on-purpose. Materials: rust-red hand-rolled paint over original factory grey, soot-black smudges around the engines, salvage-yellow warning paint slapped crooked across panels that used to be navigation markings, a single garish hand-painted red-and-black raider sigil straddling two warped hull plates, weld-seams visibly crude where cargo-pod skeletons have been bolted on at the wrong angles. Composition: ship centred, occupying roughly 70% of frame width, broadside view emphasising the oversized salvaged broadside gun bolted amidships at a slightly-off horizontal angle. Foreground anchor: the pirate's own small dinghy docked at the lower side like a parasite, magnetic clamps visible. Mid-ground: empty trade-lane starfield, no other vessels. The big ship's engines are cold; only two of its many running lights are lit. Mood: rudeness as business model.

Negative: no human face, no skull-and-crossbones cliché, no explosions"
civic_doctrine_iron_lion,"Iron Lion Doctrine (Civic)",civic_icon,C,256x256,P1,"flat dark-slate background, military-red accent","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: flat dark-slate background, military-red accent

Heraldic emblem icon, square 1:1 token. Centred composition, single bold shape: a roaring lion's head fused at the lower jaw into a clenched iron gauntlet, the two forms reading as one continuous silhouette. Camera: dead-on flat at 50mm equivalent, no perspective, no depth, glyph occupying ~70% of inner frame area. Lighting: subtle radial vignette darkening the corners, one military-red 1800K rim catching the gauntlet's knuckle ridge as the saturated accent, no other highlights. Materials: flat illustration in dark slate over near-black background, hand-rolled ink-rough edge along the silhouette implying defiance. Style: crude defiance, not polished heraldry — silhouette must read at 32px without colour.

Negative: no heraldic shield frame, no banners, no readable text"
civic_doctrine_nomad,"Nomad Compass (Civic)",civic_icon,C,256x256,P1,"flat dark-slate background, warm amber accent","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: flat dark-slate background, warm amber accent

Heraldic emblem icon, square 1:1 token. Centred composition, single bold shape: a compass rose with eight arms, but the north arm is replaced by a single curved bird's feather subtly offset from true-vertical by a few degrees so the eye registers something quietly wrong. Camera: dead-on flat at 50mm equivalent, no perspective, glyph occupying ~70% of inner frame area. Lighting: subtle radial vignette, one warm amber 2200K rim catching the feather's outer edge as the saturated accent, no other highlights. Materials: flat illustration in dark slate over near-black background, the feather rendered with a single soft barb-line texture for character, the compass arms clean and sharp. Style: quiet evasion — silhouette must read at 32px without colour.

Negative: no cardinal letters, no map behind, no readable text"
civic_doctrine_archon,"Archon Discipline (Civic)",civic_icon,C,256x256,P1,"flat dark-slate background, bone-white and red-black accent","Dischordian Saga house style for Nano Banana 2. Painterly digital illustration with visible brushwork at 1:1 and clean read at thumbnail scale. High-contrast low-saturation palette anchored on one hot accent colour per piece, never two. Cinematic lighting — single dominant key source, soft volumetric haze gradient across at least three depth planes, rim light only on hero silhouettes. Materials skew bio-mechanical / crystalline / wet-chrome / weathered ceramcrete; surface detail at the level of paint chips, water-staining, and honest wear. Subtle eldritch geometry suggested in negative space (rings-within-rings, recursive spirals, impossible angles) — never explicit. No on-image text, no UI chrome, no lens flares, no modern logos, no readable signage. Reference: docs/ART_DEPARTMENT_PRODUCTION.md.

Palette: flat dark-slate background, bone-white and red-black accent

Heraldic emblem icon, square 1:1 token. Centred composition, single bold Architect-geometry shape: a perfect equilateral triangle bisected by a horizontal centre-line, with a smaller inverted equilateral triangle inscribed precisely within the lower half so the three negative-space points form a tighter inner triangle echo. Camera: dead-on flat at 50mm equivalent, mathematically exact, glyph occupying ~70% of inner frame area. Lighting: subtle radial vignette, one cold red-black 1800K rim trim along the outer triangle's right edge as the saturated accent, otherwise bone-white interior fill. Materials: flat illustration in bone-white over near-black background, edges crisp to the pixel — Architect doctrine forbids ink-rough or organic edges here. Style: ritual cold — silhouette must read at 32px without colour, geometry must read as ceremonial.

Negative: no weapons, no organic lines, no readable text"
