asset_id,type,tool,prompt_ref,output_path,dependencies,status,notes
# ─── WEEK 1: PROTAGONIST 3D TIER (Elara + Human) ────────────────────────────
elara_turnaround_front,still,nano-banana-2,§1A.1 FRONT,apps/client/public/references/3d-turnarounds/elara/front.png,,pending,
elara_turnaround_3q_left,still,nano-banana-2,§1A.1 3/4 LEFT,apps/client/public/references/3d-turnarounds/elara/3q_left.png,elara_turnaround_front,pending,
elara_turnaround_side_left,still,nano-banana-2,§1A.1 SIDE LEFT,apps/client/public/references/3d-turnarounds/elara/side_left.png,elara_turnaround_front,pending,
elara_turnaround_back,still,nano-banana-2,§1A.1 BACK,apps/client/public/references/3d-turnarounds/elara/back.png,elara_turnaround_front,pending,
elara_viseme_grid,still,nano-banana-2,§1A.2 grid prompt,apps/client/public/portraits2d/elara/visemes/_grid.png,elara_turnaround_front,pending,Slice into 15 individual phoneme plates per Part 1A.2 spec
elara_expression_sheet,still,nano-banana-2,§1A.3,apps/client/public/portraits2d/elara/expressions/_sheet.png,elara_turnaround_front,pending,Slice into 5 panels (neutral/speaking/concerned/revealing/distressed)
elara_atlas_scanlines,still,procedural,§1A.4 SCANLINES,apps/client/public/vfx-atlases/hologram/elara_scanlines.png,,pending,Procedural — Substance 3D or Photoshop
elara_atlas_rain_motes,still,procedural,§1A.4 RAIN MOTES,apps/client/public/vfx-atlases/hologram/elara_rain-motes.png,,pending,Procedural — particle scatter
elara_atlas_chromatic_mask,still,procedural,§1A.4 CHROMATIC ABERRATION MASK,apps/client/public/vfx-atlases/hologram/elara_chromatic_aberration_mask.png,,pending,Pure radial gradient
elara_atlas_silhouette_edge,still,procedural,§1A.4 SILHOUETTE EDGE RIM,apps/client/public/vfx-atlases/hologram/elara_silhouette_edge.png,,pending,Soft cyan rim glow
elara_3d_bust_glb,3d,meshy-v5,§1A.1 + §1A turnaround set,apps/client/public/rigs/protagonists/elara/bust.glb,elara_turnaround_front;elara_turnaround_3q_left;elara_turnaround_side_left;elara_turnaround_back,pending,Image-to-3D from 4-frame turnaround
elara_viseme_morphs,3d,blender-bake,§1A.2 + §0.4 morph spec,apps/client/public/rigs/protagonists/elara/visemes/,elara_3d_bust_glb;elara_viseme_grid,pending,15 morph targets baked to .morphs.bin per Apple ARKit phoneme set
human_turnaround_front,still,nano-banana-2,§1B.1 FRONT,apps/client/public/references/3d-turnarounds/human/front.png,,pending,
human_turnaround_3q_left,still,nano-banana-2,§1B.1 3/4 LEFT,apps/client/public/references/3d-turnarounds/human/3q_left.png,human_turnaround_front,pending,
human_turnaround_side_left,still,nano-banana-2,§1B.1 SIDE LEFT,apps/client/public/references/3d-turnarounds/human/side_left.png,human_turnaround_front,pending,
human_turnaround_back,still,nano-banana-2,§1B.1 BACK,apps/client/public/references/3d-turnarounds/human/back.png,human_turnaround_front,pending,
human_expression_sheet,still,nano-banana-2,§1B.2,apps/client/public/portraits2d/human/expressions/_sheet.png,human_turnaround_front,pending,5-panel slice
human_viseme_grid,still,nano-banana-2,§1B.3,apps/client/public/portraits2d/human/visemes/_grid.png,human_turnaround_front,pending,15-panel slice with beard-clearance
human_atlas_assembly_atom,still,procedural,§1B.4 ASSEMBLY-ATOM PARTICLE,apps/client/public/vfx-atlases/particles/human_assembly-atom.png,,pending,Single-particle sprite
human_atlas_red_eye_ignition,still,nano-banana-2,§1B.4 RED-EYE IGNITION,apps/client/public/vfx-atlases/particles/human_red-eye-ignition.png,,pending,Radial burst
human_atlas_rim_shadow,still,procedural,§1B.4 RIM-SHADOW,apps/client/public/vfx-atlases/particles/human_rim-shadow.png,,pending,Directional shadow mask
human_atlas_silhouette_stencil,still,procedural,§1B.4 SILHOUETTE-STENCIL,apps/client/public/vfx-atlases/particles/human_silhouette-stencil.png,human_turnaround_front,pending,Hard-edged stencil from front turnaround
human_3d_bust_glb,3d,meshy-v5,§1B.1 + turnaround set,apps/client/public/rigs/protagonists/human/bust.glb,human_turnaround_front;human_turnaround_3q_left;human_turnaround_side_left;human_turnaround_back,pending,
human_viseme_morphs,3d,blender-bake,§1B.3 + §0.4 morph spec,apps/client/public/rigs/protagonists/human/visemes/,human_3d_bust_glb;human_viseme_grid,pending,
# ─── WEEK 2: PLAYER 3D BASE MESHES (4 species × 2 sexes) ────────────────────
