id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
act1_minnie_meme__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I remember this chant from a Senate cafeteria when I was an intern. I remember it being older than I was.","Reflective, match-side framing. One step outside the fight.",P1
act1_minnie_meme__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"You stopped the chant. Most adults can't. The Engineer couldn't, the first time he tried.","Reflective, match-side framing. One step outside the fight.",P1
act1_minnie_meme__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"It got in. That's all losing means here. We'll wash it out at the next break.","Reflective, match-side framing. One step outside the fight.",P1
act1_corey_collector__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I knew a boy like this in the Senate. He grew up to count grief by the gram. He was very rich.","Reflective, match-side framing. One step outside the fight.",P1
act1_corey_collector__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"The jar cracked. He'll learn to want a smaller one. Or he won't, and we'll meet him again.","Reflective, match-side framing. One step outside the fight.",P1
act1_corey_collector__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"He took something small. We'll find out which thing was small later. We always do.","Reflective, match-side framing. One step outside the fight.",P1
act1_kanshi_sha_watcher__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I have no memory of this child. That should be impossible. I have memories of Senate water-coolers. Not of her.","Reflective, match-side framing. One step outside the fight.",P1
act1_kanshi_sha_watcher__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"She lowered the mask for half a second. I saw a child. I do not know if I saw her.","Reflective, match-side framing. One step outside the fight.",P1
act1_kanshi_sha_watcher__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"The mask stayed up. We do not know what is under it. We will, eventually, the hard way.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_iron_lion__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I was a junior senator the year this match happened. He read me a poem about the Senate. It was kind, and it was wrong about almost everything.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_iron_lion__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"He bowed. Then he asked you for coffee. He meant it both times.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_iron_lion__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"He apologized. He's already apologizing to someone who hasn't been born. That's how he loses.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_kael__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I was on the disciplinary subcommittee that approved his expulsion. I voted yes for the wrong reasons. I have not stopped knowing that.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_kael__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"He nodded once and walked out. Mechronis pretended not to notice. Mechronis was very good at not noticing.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_kael__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"He won. He left anyway. Winning never had anything to do with what he was doing.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_agent_zero__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"Professor Eidola wrote a Senate brief about consent in machine governance. The Empire archived the brief and then archived her.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_agent_zero__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"She wrote one word on your report card and would not let you see it. The word was for the Empire, not for you.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_agent_zero__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"She wrote nothing. She said 'Of course.' That was kinder than passing you would have been.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_eyes__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"She designed the cooling lattice that this Ark still runs on. I am, in a small way, alive because of how she tuned a pipe.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_eyes__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"She told you the bench you sit on was built by a student. She did not say which one. The point was the bench, not the student.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_eyes__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"She did not sigh. Calibration teachers do not sigh. They wait. She is waiting.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_human_seeker__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I have no recording of this match. The Seer told me she preferred I not have one. She is the only person to ever ask me that.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_human_seeker__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"She smiled. She told you the Engineer was the only one she ever taught who made her laugh at the right time.","Reflective, match-side framing. One step outside the fight.",P1
act1_young_human_seeker__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"She won and said nothing. She left the staff anyway. The staff doesn't care which way the match ended.","Reflective, match-side framing. One step outside the fight.",P1
act1_vernon_vortex__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"She was not yet a person. She was already a swarm. The Senate had a word for what she was. The word did not survive the war.","Reflective, match-side framing. One step outside the fight.",P1
act1_vernon_vortex__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"She retreated for one measure. The war did not end. One measure is a lot.","Reflective, match-side framing. One step outside the fight.",P1
act1_vernon_vortex__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"The line cracked. The Engineer picked up a fallen staff and kept it. We still have the staff.","Reflective, match-side framing. One step outside the fight.",P1
act1_wanda_wyrlord__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"The Programmer's vote ratified the Inception Ark project. He did not believe in the Ark. He believed it would be required anyway.","Reflective, match-side framing. One step outside the fight.",P1
act1_wanda_wyrlord__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"He shook your hand. He vanished that night. The song he left held both his voice and the Engineer's.","Reflective, match-side framing. One step outside the fight.",P1
act1_wanda_wyrlord__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"He let you win. Then he wouldn't admit it. He never admitted any of his gifts.","Reflective, match-side framing. One step outside the fight.",P1
act1_warlord_nano_swarm__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"Before the split, the Game Master was a Senator I shared a desk with for a quarter. He laughed easily. He laughed at me twice.","Reflective, match-side framing. One step outside the fight.",P1
act1_warlord_nano_swarm__elaraPostMatchWin,"Elara",elara,0.45,0.78,0.35,true,"He smiled the smile of a man who had already lost. He said: 'Do it again. With an audience next time.'","Reflective, match-side framing. One step outside the fight.",P1
act1_warlord_nano_swarm__elaraPostMatchLoss,"Elara",elara,0.45,0.78,0.35,true,"He did not gloat. He signed the warrant. He waited for the Authority to co-sign. The waiting was the gloat.","Reflective, match-side framing. One step outside the fight.",P1
act1_wayne_warden__elaraPreMatch,"Elara",elara,0.45,0.78,0.35,true,"I know two of the names in the coffins. I voted with one of them, against the other. They were both right. They are both still wrong.","Reflective, match-side framing. One step outside the fight.",P1
