id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
cc_sih_title,"Elara",elara,0.45,0.78,0.35,true,"I've had this song in my Archive since before I can remember having anything. I don't know where it came from. I just know it was always there. Like it was loaded in before I was.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_track37_elara,"Elara",elara,0.45,0.78,0.35,true,"It's done. They told the whole story. I was in that story. I was in it and I didn't know. I think — I think I'm still in it. I think we both are.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_gov_first,"Elara",elara,0.45,0.78,0.35,true,"The Governance Hub. Democracy is not the system where everyone's opinion is equally correct. It's the system that acknowledges no individual should be trusted with making decisions alone. Including me. Including you. The votes matter. The consequences are real.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_kael_discover,"Elara",elara,0.45,0.78,0.35,true,"...Oh. Oh no. I knew this ship felt wrong. I've always known it felt wrong. I thought it was the recycled air. It wasn't the air.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_iron_lion,"Elara",elara,0.45,0.78,0.35,true,"Iron Lion. Cades. I know that name from something I can't quite reach. A memorial, I think. Or a speech. Something that was read aloud. It made people cry. I can feel the shape of why without being able to see it.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_light_milestone,"Elara",elara,0.45,0.78,0.35,true,"Do you know what I love about watching you? You keep choosing the hard thing. Not because it works every time. Because it's the right thing. That's rarer than you know.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_journal_first,"Elara",elara,0.45,0.78,0.35,true,"The Antiquarian's words. He writes with the specific patience of someone who knows the reader might not arrive for centuries. But he writes anyway. I find that either admirable or devastating depending on the hour.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_role_engineer,"Elara",elara,0.45,0.78,0.35,true,"Engineer. He would have liked you. I am not in the habit of saying that about anyone, and certainly not about a stranger I just woke up. Take the bench seriously. He did, eventually.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_role_oracle,"Elara",elara,0.45,0.78,0.35,true,"Oracle. Be careful what you sense first. The first thing an Oracle perceives is usually the loudest, and the loudest is rarely the truest. I'll be the second voice on every reading you do.","Reflective, measured, warm. Elara's standard reactive tone.",P1
cc_role_soldier,"Elara",elara,0.45,0.78,0.35,true,"Soldier. Discipline is mercy in disguise. I served alongside three of you in the Senate guard. Two of them died well. The third is still alive, and is the one I worry about.","Reflective, measured, warm. Elara's standard reactive tone.",P1
