asset_id,name,category,review_gate,resolution,priority,palette,composed_prompt
market_pirate_raider,"Pirate Raider Ship (generic)",pirate_portrait,C,768x768,P1,"rust-red, soot-black, salvage-yellow warning paint, one cold blue running-light","Square 1:1 portrait of a battered bulk-carrier repainted by hand into a pirate raider, drifting parked in empty trade-lane space. Camera: medium telephoto at ~85mm equivalent, 3/4 broadside hero view, slight low angle so the bolted-on gun reads silhouetted against starfield. Lighting: cold 4500K starfield ambient as base, no key, one cold-blue 6500K running-light pinpoint as the only practical source on the hull, deep void in the negative space — the ship looks abandoned-on-purpose. Materials: rust-red hand-rolled paint over original factory grey, soot-black smudges around the engines, salvage-yellow warning paint slapped crooked across panels that used to be navigation markings, a single garish hand-painted red-and-black raider sigil straddling two warped hull plates, weld-seams visibly crude where cargo-pod skeletons have been bolted on at the wrong angles. Composition: ship centred, occupying roughly 70% of frame width, broadside view emphasising the oversized salvaged broadside gun bolted amidships. Foreground anchor: the pirate's own small dinghy docked at the lower side like a parasite, magnetic clamps visible. Mid-ground: empty trade-lane starfield, no other vessels. Mood: rudeness as business model. Negative: no human face, no skull-and-crossbones cliché, no explosions."
captain_freelance_morrow,"Captain Morrow (Free Lance)",pirate_portrait,C,768x1024,P1,"rust-red, salvage-yellow, weathered-bone","3:4 portrait. Captain Morrow of the Free Lance — opportunistic, charming, late-40s. Camera medium-wide ~50mm, 3/4 angle, slight low so the captain's faded jacket fills the frame. Lighting: rust-red 2700K key from frame-left (a dock-fire reading-glow), cool 6500K rim from frame-right (a single running-light), no warm fill. Materials: salvage-yellow leather jacket over a navy union shirt that used to be an Authority cargo uniform — Authority insignia removed but stitching outline still visible. Worn brass cargo-belt buckle. A single tooth-on-cord necklace. Mid-ground: blurred salvage-yellow warning paint on a hull behind. Composition: captain dead-centre, gaze just-off-camera, half-smile that says we have done business before; we will do business again. Mood: charming opportunism, the kind of friend you don't lend money to. Negative: no skull-and-crossbones, no eye-patch cliché, no readable signage on the salvaged jacket."
captain_freelance_thaad,"Captain Thaad (Free Lance)",pirate_portrait,C,768x1024,P2,"rust-red, salvage-yellow, deep umber","3:4 portrait. Captain Thaad of the Free Lance — broker-pirate, sub-30s, treats raiding as a profession. Camera medium ~85mm, 3/4 angle. Lighting: rust-red 2700K key from frame-right (dock-lamp), no fill, deep umber background. Materials: clean dark-umber duster, factory-fresh salvage-yellow gloves, a brass barter-tablet on a chain (Free Ports trader insignia, scratched out). Hair tied back, no jewellery. Composition: captain occupying lower 60% of frame, brass tablet held casually in foreground hand at mid-frame. Mood: this is a job. Negative: no smile, no flair, no salvage-grime."
captain_dredges_korvath,"Captain Korvath (Dredges)",pirate_portrait,C,768x1024,P1,"oxblood, gilt, anti-Authority red","3:4 portrait. Captain Korvath of the Dredges — anti-Authority, organised, late-50s. Camera medium-wide ~50mm, slight high angle (Korvath looks up at the viewer with deliberate stillness). Lighting: warm oxblood 2700K key from above, dim gilt rim from frame-left, deep void around. Materials: heavy oxblood storm-coat, gilt buttons stamped with an inverted Authority crest (the inversion is the politics; the gilt is the message). A single Authority-Ledger gavel-icon brooch with the gavel snapped. Hair shaved, scar across the left brow. Composition: captain three-quarter framed, gaze direct, the snapped-gavel brooch on the centre intersection. Mid-ground: blurred Authority Ledger-style paperwork pinned to a wall behind, several pages with NULLIFIED stamped at angles. Mood: politicised piracy, doctrine in jacket form. Negative: no anger, no shouting, no on-image text other than the implied document stamps."
captain_dredges_vela,"Captain Vela (Dredges)",pirate_portrait,C,768x1024,P2,"oxblood, anti-Authority red, electric cyan","3:4 portrait. Captain Vela of the Dredges — comms specialist, mid-30s, gleeful. Camera medium ~85mm. Lighting: electric-cyan 6500K key from a comms console below frame, rust-red 1800K rim from upper right. Materials: oxblood field-jacket with a homemade Authority-crest cut from a real Authority lapel and pinned upside down on her shoulder. A bandolier of comms keys. Composition: captain leaning forward toward the viewer, half-smile, comms-key bandolier in foreground. Mid-ground: vague reflection of an Authority Ledger broadcast on a screen behind. Mood: revolution as a hobby. Negative: no scowl, no clenched fist."
captain_sporepicks_orsel,"Captain Orsel (Spore Picks)",pirate_portrait,C,768x1024,P1,"spore-black, infection-yellow, bioluminescent green","3:4 portrait. Captain Orsel of the Spore Picks — Thought-Virus aligned, late-40s, half-converted. Camera medium-wide ~50mm, 3/4 angle. Lighting: bioluminescent-green 4500K key from below frame (the captain's own infection glow), no fill, deep spore-black background. Materials: stiffened black field-coat, spore-tendrils visibly intertwined with the seams, infection-yellow eye-glow. Skin pallor wrong but not zombified — the captain is awake, communicating, just not entirely human. A small relic on a chain — pre-conversion family jewellery, kept. Composition: captain centred, gaze direct but unfocused (the unfocus is the canon), relic on chain visible in foreground. Mood: the captain is, technically, still saying yes — just to a different question now. Negative: no horror-cliché tendrils outside the coat seams, no melting flesh, no green slime."
captain_sporepicks_kareen,"Captain Kareen (Spore Picks)",pirate_portrait,C,768x1024,P2,"spore-black, infection-yellow, raw bone","3:4 portrait. Captain Kareen of the Spore Picks — earlier in the conversion arc, late-30s, asks polite questions. Camera medium ~85mm. Lighting: cool 6500K above-key, no warm fill, deep void around. Materials: simple field-shirt, no ostentation, the only visible spore-tendril is one thin filament along the jawline (the conversion is recent). A pre-conversion notebook tucked in a chest pocket. Composition: half-frame, gaze slightly off-camera (Kareen is listening to something the viewer cannot hear), notebook visible. Mood: the polite stage of becoming a problem. Negative: no horror affect — Kareen still passes for human at conversation distance."
fleet_silhouette_pirate_freelance,"Free Lance Fleet Silhouette",pirate_portrait,C,1024x256,P2,"rust-red, salvage-yellow, soot-black","3:1 horizontal silhouette of a Free Lance pirate fleet — three ships in trailing formation. Lead ship is a hand-repainted bulk carrier (see market_pirate_raider). Trailing ships are smaller, faster — a converted yacht and a stripped-down freighter. All three rendered as silhouette only against a salvage-yellow horizon-line. No detail; pure outline. Mood: opportunistic, asymmetric, mismatched. Negative: no flags, no readable markings."
fleet_silhouette_pirate_dredges,"Dredges Fleet Silhouette",pirate_portrait,C,1024x256,P2,"oxblood, anti-Authority red, gilt","3:1 horizontal silhouette of a Dredges pirate fleet — three ships in tight wedge formation. Lead ship is a captured Authority cutter (Authority insignia inverted in negative space). Trailing ships are matching purpose-built dredge-hulls. All three rendered as silhouette against an oxblood horizon. Mood: organised, doctrinaire, looking like an army. Negative: no flags, no readable markings."
fleet_silhouette_pirate_sporepicks,"Spore Picks Fleet Silhouette",pirate_portrait,C,1024x256,P2,"spore-black, infection-yellow, bioluminescent","3:1 horizontal silhouette of a Spore Picks pirate fleet — three ships in irregular formation, hulls visibly grown-out with tendril-bridges between them. The fleet is, technically, one organism in three pieces. Lead ship is a converted bulk carrier with a halo of bioluminescent rigging. Mood: not a fleet so much as a slow appetite. Negative: no individual hull detail; the silhouette is what matters."
