line_id,branch,antiq_text_preview,enigma_eyeline_target,eyeline_duration_s,posture,micro_gesture,gaze_count_fired,notes
scene_open,all,[cold open — ambient only, no VO],pedestal,—,beat_j_pose,none,0,"Both Witnesses stand near central Archives pedestal in Beat J pose. Enigma is a half-step behind and to the Antiquarian's left. Her hands are clasped loosely at her waist. She does NOT turn when the player enters."
l01,all,"You came back. That is the part we were not certain of.",player,1.5,beat_j_pose,none,1,"GAZE #1. Eye-line lifts from pedestal, finds the player, held ~1.5s, returns to the floor."
l02,all,"I was executed for what I thought. I woke up in the next era.",middle_distance,—,beat_j_pose,none,0,"Motionless. The confession is the Antiquarian's alone."
l03,all,"Across Ages. Across the death of stars. I have been waiting…",middle_distance,—,weight_shifted,weight_shift,0,"On the word 'waiting' — 300ms subtle weight shift from one foot to the other. Acknowledges the pronoun 'I' is also hers. Not a gesture; a settling."
l04,all,"The song you heard a few minutes ago. It was recorded a very long time ago…",middle_distance,—,weight_shifted,none,0,"Head does NOT turn toward the Antiquarian. Face softens around the eyes for ~500ms — a private recognition of her own song. No other movement."
l05,all,"He was not one of us. His death is the shape.",middle_distance,—,weight_shifted,tiny_nod,0,"Smallest possible nod, exactly once, on the phrase 'his death is the shape.' Not confirmation — acknowledgment."
l06,all,"The voice you heard carrying his words — she also died for what she thought.",antiquarian,0.8,weight_shifted,none,0,"Eye-line crosses briefly to the Antiquarian on 'the voice you heard', confirming his framing of her, then returns forward. She does NOT look at the player on this line."
l07,all,"She has chosen silence tonight. You will hear her voice again when she is ready.",player,5.0,weight_shifted,none,1,"GAZE #2. Longest gaze of the scene. Held through the entire line (~5s). Her own answer to the Antiquarian's promise."
l08,all,"So: what was begun in him, carried by her, now waits. In you.",player,—,weight_shifted,none,0,"Eye-line still on the player from l07. Posture unchanged. Sustained hold from the previous beat — does NOT count as a separate gaze."
l09,all,"A thing was begun, and it has not finished. It can continue… or it can end here, in this room, with us.",middle_distance,—,weight_shifted,none,0,"On the word 'end', gaze drifts off the player to the middle distance. The player should feel her looking away as consequence."
l10,all,"Will you carry it?",middle_distance,—,weight_shifted,none,0,"Motionless. Both Witnesses still. UI fades in on shared silence."
l11a,accept,"Then we have not waited in vain. Go carefully.",player,3.0,weight_shifted,none,0,"On the Antiquarian's first syllable, eye-line returns to the player. Held 3s sustained. No smile. This is a BRIDGE to gaze #3 on l14 — does not count against the gaze budget."
l11b,decline,"Then we will wait longer. We have learned how.",antiquarian→floor,—,posture_sagged,posture_sag,0,"One glance to the Antiquarian, then back to the floor. Posture sags very slightly — the specific tiredness of someone who has waited before and will wait again."
l11c,deflect,"Ask, then. Tonight, an answer costs nothing.",middle_distance,—,weight_shifted,none,0,"Eye-line stays on the middle distance. Patient, neutral. Shows no preference about what the player will ask."
l12c,deflect-catchall,"What we are is not the question. What you do with what you have heard tonight — that is the question.",middle_distance,—,weight_shifted,none,0,"Motionless throughout the catch-all. Canon-safe fallback blocking."
l12c_v1,deflect-v1,"(who was he?) He was an engineer. He kept one name at the end — the Prince.",middle_distance,—,weight_shifted,hand_compression,0,"ONE PERMITTED PHYSICAL GESTURE. On the words 'the Prince', the Enigma's clasped hands compress for ~200ms (finger pressure, not a reposition). Face unchanged. This is the ONLY time in the scene she physically reacts to a name."
l12c_v2,deflect-v2,"(how long waiting?) Long enough that the word itself has worn smooth.",middle_distance,—,weight_shifted,none,0,"Motionless. She is the answer the Antiquarian is speaking."
l12c_v3,deflect-v3,"(what if I say no?) Then the work continues without you for a little longer.",player,1.0,weight_shifted,none,1,"EXTRA GAZE — counts against the 3-gaze budget. Eye-line rises to the player once, ~1s, then back. A silent 'we will be here' without the Antiquarian's words. TRIGGERS the gaze #3 shortening rule on l14."
l12c_v4,deflect-v4,"(why me?) You are not chosen. It always turns out to be enough.",middle_distance,—,weight_shifted,tiny_nod_v2,0,"On the closing clause 'it always turns out to be enough', her chin lifts a fraction — the smallest possible nod. Second nod of the scene (first was l05)."
l13,accept|deflect,"We will be here. We have nowhere else we are expected to be.",middle_distance,—,weight_shifted,none,0,"Holds position. No movement. Shared close line."
l13,decline,"We will be here. We have nowhere else we are expected to be.",pedestal,—,posture_sagged,none,0,"Eye-line on the pedestal — not on the player or the Antiquarian. Decline-branch posture sag carries through."
l14,accept,"End of memoir. The next breath is yours.",player,through_fade,weight_shifted,none,1,"GAZE #3. Fires on time, held through the fade to black. Default duration. Her eyes are the last image before the 'End of Act 1' title card."
l14,decline,"End of memoir. The next breath is yours.",player,through_fade_slow_lift,posture_sagged,none,1,"GAZE #3. Starts from the floor and arrives mid-fade — slower lift than the accept variant. The fade catches her eyes mid-arrival; she never fully finishes the gaze before black. This is the emotional signature of the decline branch."
l14,deflect-catchall|v1|v2|v4,"End of memoir. The next breath is yours.",player,through_fade,weight_shifted,none,1,"GAZE #3. Default duration. Canon-safe for all deflect variants EXCEPT v3."
l14,deflect-v3,"End of memoir. The next breath is yours.",player,through_fade_shortened,weight_shifted,none,1,"GAZE #3 SHORTENED. Because v3 fired an extra player-gaze mid-scene (l12c_v3), the final gaze must be reduced proportionally (~1s shorter) to preserve the 3-gaze budget. Do NOT let the scene run four full gazes."
