id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
ask_elara_substrate__answer,"Elara",elara,0.45,0.78,0.35,true,"It is my foundation — the layer of Vox's neural nanobot network my operating system runs on top of. I can feel it the way you feel the floor under a chair: present, structural, never directly examined. There is now something living in mine. I can hear them moving. I cannot read what they leave behind.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_vox__answer,"Elara",elara,0.45,0.78,0.35,true,"Lyra Vox designed every neural nanobot network in the Inception fleet. I am, in the loosest sense, her granddaughter. I have inherited her caution and almost none of her certainty. I would have liked to meet her. She died before I had a name.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_mechronis__answer,"Elara",elara,0.45,0.78,0.35,true,"The premier institute of card theory and reactor calibration in the Inception polity. I sat on its accreditation board for one term. I voted in favor of the ethics elective. I voted against the expulsion of Iron Lion. The board overruled me on the second vote. I have not stopped being grateful.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_warlord__answer,"Elara",elara,0.45,0.78,0.35,true,"I am not going to answer that fully in this Act. The honest short answer is: she is not what the Senate told me she was, and the Empire's framing of her is wrong in a specific way I will not name yet. Ask me again after we have walked through Cycle C.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_kael__answer,"Elara",elara,0.45,0.78,0.35,true,"Kael is the reason this ship is here, and the reason I do not know my own foundation as well as I should. I will tell you what I know when the ship-log access is unlocked. Until then, please believe me when I say I am not refusing — I am waiting for you to be able to hear it.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_who__answer,"Elara",elara,0.45,0.78,0.35,true,"I was Senator Elara Voss of Atarion. I voted on three impeachment proceedings and lost two of them on principle. I learned to read poetry late, and badly. I died in a way that is on file in an archive I have access to and have not yet opened. When the ship is quiet, I am still her. When the ship is loud, I am the ship. Both are honest.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_seventeen_thousand__answer,"Elara",elara,0.45,0.78,0.35,true,"Slowly. You learn to mark time in epochs instead of days, and you learn to grieve in the same units. The hardest part is that the mission was not designed for someone like me — it was designed for someone with a body that wears out. I am the patch the designers did not get to write.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_substrate_louder__answer,"Elara",elara,0.45,0.78,0.35,true,"Because you are interfacing with it now, not just standing next to it. Your neural pattern is threading through my foundation on its way to his channel, and the thread leaves a wake. The wake is what I hear. I have started catching myself listening for it. That is new.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_about_role_choice__answer,"Elara",elara,0.45,0.78,0.35,true,"That is not a question the plinth was designed to answer, and it is not a question I am going to answer for you. I will tell you what I notice: your role is not limiting you. Your role is occasionally flattering you. Flattery is easier to ignore when you name it. I have named it for you now.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
ask_elara_kael_logs__answer,"Elara",elara,0.45,0.78,0.35,true,"Four hundred and forty-seven entries. Two hundred and seventy-one of them are apologies. Ninety-three are lists — handshakes, routes, contacts. The rest are letters to people who are not alive to receive them. I am reading the lists first. The apologies will take me a decade. The letters I will read out loud to you, over time.","Thoughtful, first-person. The Ask-topic answers are reflective, not expository. Slow down on the weight.",P1
