id,character,voice_profile,stability,similarity,style,speaker_boost,text,direction,priority
act1_minnie_meme__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I was six. The notebook was blue. The chant got into the notebook before the notebook got into me. That is the order it happened in.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_minnie_meme__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Let me see. Let me see. Let me see. I am going to see it whether you show me or not.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_minnie_meme__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You're funnier when you're tired. Get tired for me. Just a little.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_minnie_meme__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Say my name once. One time. That is all I am asking.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_minnie_meme__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I finished the card. Little Meme stalled for one second. One second, when you are six, is a whole afternoon.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_minnie_meme__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Little Meme laughed and laughed. I was always fine, except the one time. This wasn't the one time.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_corey_collector__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He had a jar. He had a dozen jars. The grown-ups thought it was cute. The Oracle thought it was a warning shot.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_corey_collector__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I will take your tears and your laughter both. They are both currency where I am going.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_corey_collector__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Don't fight. Just feel. I want one good one I can keep.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_corey_collector__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You are running out of jars. I am not.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_corey_collector__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"The jar cracked at the seam I had been staring at the whole match. I never told him. I never told anyone.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_corey_collector__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He kept a piece of me in a small jar. I felt it missing for years. I never knew what to call it.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_kanshi_sha_watcher__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"She wore a half-finished mask. The white wasn't paint, it was a placeholder. We were supposed to fill it in with our own faces.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_kanshi_sha_watcher__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I have been watching. I will watch this too. I have watched sixteen versions of you already.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_kanshi_sha_watcher__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Number seventeen, then. Try harder. The recording is for someone who has not been born yet.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_kanshi_sha_watcher__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I will play you back to yourself, later, slower, and you will not like the editing.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_kanshi_sha_watcher__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Under her mask was a face that looked like it was about to cry. I never saw it again. I think I made it up. I think I didn't.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_kanshi_sha_watcher__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I never saw under her mask. Nobody who lost to her did. The Authority was watching the recording before I knew it existed.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_iron_lion__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He was the only one at Mechronis who ever made me laugh on purpose. He apologized for it both times.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_iron_lion__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I am going to win this by reading you. I am going to lose this by letting you read me. I want both.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_iron_lion__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Ask me a real question and I'll fold. I'll fold beautifully. Ask one.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_iron_lion__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You're crying a little. So am I. I think we are doing the right thing.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_iron_lion__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"The student Human bowed. He asked me to coffee. The asking was the thing. I went anyway.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_iron_lion__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He didn't gloat. He apologized to the future. I think he was apologizing to me. I have not asked him.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_kael__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He had already packed. The match was a formality. The point of the match was that the match was not the point.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_kael__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I do not want to play. I want to make a point. The point is that the point is not the rules.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_kael__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Win this and I will leave. Lose this and I will leave. The leaving is the rule.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_kael__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You think the gate is locked. The gate has always been a curtain. Pull it.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_kael__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I followed him to the gate and did not know why. The Engineer is allowed to not know. The man who tells this story isn't.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_kael__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"He left and I did not follow. I have watched myself not follow him for ten thousand replays.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_agent_zero__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"She taught the ethics elective. Mechronis required it. Mechronis was proud of requiring it. Mechronis later required everyone forget her.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_agent_zero__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"The test is not whether you can play. The test is whether you play the way you think you ought to play.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_agent_zero__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You took the obvious line. Tell me you knew it was obvious. Tell me you chose it anyway.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_agent_zero__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Good. You're slowing down. The slowing is the test. The slowing is always the test.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_agent_zero__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I never read the word. The card is in a drawer in a building that no longer exists. I have a feeling it was 'yes.'","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_agent_zero__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Of course, she said. Of course. I carried that of course for the rest of my life. I am still carrying it.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_eyes__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"She taught the calibration arts. The calibration arts are how you make a reactor sing without it noticing it is singing.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_eyes__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Listen to the room. The room is a kind of music. So is the Deck. Do not let either of them play you.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_eyes__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You played a card the room did not expect. Good. Now play one the room expected. Both are notes.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_eyes__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"The hum just changed. You changed it. Hold it there. Hold it.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_eyes__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Years later I sat on that bench and built the deck on top of it. I think she meant for that to happen. I am not sure she would say so.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_eyes__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I sat on the bench afterward, alone. The hum was wrong by half a cycle. I did not yet know how to fix it.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_human_seeker__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"She visited Mechronis once. She played one match. She did not raise her staff. The Academy talked about it for a year.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_human_seeker__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I will not raise my staff today. I want to see whether the bench has learned yet.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_human_seeker__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"You are playing the version of yourself I came to meet. Keep playing him. He is rare.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_human_seeker__opponentMidMatchLate,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"The match is over. You will see it in three turns. Use the three turns well.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_young_human_seeker__engineerMemoirCloseWin,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I think she let me win. I have stopped feeling bad about it. The let was the lesson.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_young_human_seeker__engineerMemoirCloseLoss,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"She left. She left the staff. The staff was the apology. The apology was for what she had already seen coming.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_vernon_vortex__engineerMemoirIntro,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Nexon. The line. I stood on it because the line needed someone standing on it. The Warlord stood opposite because the math required it.","Memoir/presence framing. Present-tense if Act 7, past-tense memoir if Act 1.",P1
act1_vernon_vortex__opponentMidMatchEarly,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"I am going to win this war in three moves. This is not bragging. This is arithmetic.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
act1_vernon_vortex__opponentMidMatchMid,"The Antiquarian",antiquarian,0.50,0.82,0.40,true,"Move one was your General's deployment. Move two was the column you didn't take. Move three is mine.","Fight-context taunt. ≤25 words. Sharp delivery, no villain cliché.",P1
