asset_id,name,category,review_gate,resolution,priority,palette,composed_prompt
sub_house_crest_potentials_restorationists,"Restorationists Crest (Potentials)",sub_house_crest,A,512x512,P1,"flat dark-slate background, brass-and-bone accent","Centred guild crest. Painterly digital illustration, clean read at thumbnail. Negative-space ring of recursive senate-floor geometry. Material: hammered brass over bone. Single rim-light from upper left. No text on crest. Mood: ""we remember the shape of the old order."""
sub_house_banner_potentials_restorationists,"Restorationists Banner",sub_house_banner,A,1024x256,P1,"dark-slate ground, brass accent","Long horizontal banner. Tall narrow vertical stripe of frayed cloth. Old-world senate motif at centre. No text. Mood: a flag carried out of a building that no longer stands."
sub_house_portrait_potentials_restorationists,"Elara Avenmoor (Restorationists)",sub_house_portrait,B,768x1024,P2,"dark-slate ground, brass-and-bone accent","Three-quarter portrait of Elara Avenmoor against a faded senate mural. Painterly, single key from frame-left, soft volumetric haze. Bio-mechanical Potential physiology. Mood: dignified exhaustion."
sub_house_crest_potentials_reformers,"Reformers Crest (Potentials)",sub_house_crest,A,512x512,P1,"flat dark-slate, mint-jade accent","Centred guild crest. Concentric rings being broken outward by a slim arrow. Material: aged copper with patina. Single key. No text. Mood: ""we woke up after the Fall."""
sub_house_banner_potentials_reformers,"Reformers Banner",sub_house_banner,A,1024x256,P1,"dark-slate, mint-jade accent","Long horizontal banner. Concentric-rings-being-broken motif, central vertical seam where a new pattern is sewn into older cloth. No text."
sub_house_portrait_potentials_reformers,"The Human (Reformers)",sub_house_portrait,B,768x1024,P2,"dark-slate, mint-jade accent","Three-quarter portrait of The Human against an unfinished mural. Painterly, single key from frame-right, soft haze. Mood: ""pretending nothing changed would be its own kind of treason."""
sub_house_crest_nb_authoritys_ledger,"Authority's Ledger Crest (New Babylon)",sub_house_crest,A,512x512,P1,"deep oxblood ground, gilt accent","Centred crest. Six red-crystal coffins arranged hexagonally around a quill-and-seal. Material: oxblood lacquer over gilt. Negative-space recursive contract-clause spirals. No text. Mood: ""the contract decides."""
sub_house_banner_nb_authoritys_ledger,"Authority's Ledger Banner",sub_house_banner,A,1024x256,P1,"oxblood, gilt accent","Long horizontal banner. Hexagonal lattice of red-crystal coffin shapes. Frayed gilt fringe. No text. Hung as if from a courtroom rafter."
sub_house_portrait_nb_authoritys_ledger,"Adjudicator Locke (Authority's Ledger)",sub_house_portrait,B,768x1024,P1,"oxblood, gilt accent","Three-quarter portrait of Adjudicator Locke at a gavel-strike. Painterly, single warm 2700K key from upper-left, six red-crystal coffins faintly visible in mid-ground haze. Mood: fine-print incarnate."
sub_house_crest_nb_civic_engineers,"Civic Engineers Crest (New Babylon)",sub_house_crest,A,512x512,P1,"oxblood ground, mechanical-cobalt accent","Centred crest. Crossed wrench and lift-cable forming a sigil. Material: ceramcrete dust on oxblood. Mood: ""the lifts run while the Authority signs paperwork in their sleep."""
sub_house_banner_nb_civic_engineers,"Civic Engineers Banner",sub_house_banner,A,1024x256,P1,"oxblood, mechanical-cobalt accent","Long horizontal banner. Tall vertical band of lift-cable woven through ceramcrete texture. Worker-grade fabric. No text."
sub_house_crest_hierarchy_severance,"Severance Division Crest (Hierarchy)",sub_house_crest,A,512x512,P1,"void-black ground, surgical-cyan accent","Centred crest. Cleaved double helix mid-sever, light cleanly on one side, void on the other. Material: surgical-grade chrome. Mood: ""contracts close cleanly; refuse gratitude."""
sub_house_banner_hierarchy_severance,"Severance Division Banner",sub_house_banner,A,1024x256,P1,"void-black, surgical-cyan accent","Horizontal banner. Cleaved-helix motif repeated twice in negative space. Sterile finish."
sub_house_portrait_hierarchy_severance,"Nilmorg, SVP Kinetic Acquisition",sub_house_portrait,B,768x1024,P1,"void-black, surgical-cyan accent","Three-quarter portrait of Nilmorg behind an institutional desk. Painterly, single cool 6500K key from above, no warm fill. Mood: precision without warmth."
sub_house_crest_hierarchy_acquisitions,"Acquisitions Crest (Hierarchy)",sub_house_crest,A,512x512,P1,"void-black ground, blood-orange accent","Centred crest. Predator's hand grasping a bound contract-scroll, blood-weave thread leaking from the seal. Material: wet chrome over bone. Mood: ""files your name under leverage."""
sub_house_banner_hierarchy_acquisitions,"Acquisitions Banner",sub_house_banner,A,1024x256,P1,"void-black, blood-orange accent","Horizontal banner. Predator-hand silhouette holding a length of blood-weave. No text."
sub_house_portrait_hierarchy_acquisitions,"Drael'Mon, the Harvester",sub_house_portrait,B,768x1024,P1,"void-black, blood-orange accent","Three-quarter portrait of Drael'Mon. Painterly, single warm 1800K key from frame-right, blood-weave threads faintly visible. Mood: hostile takeover incarnate."
sub_house_crest_hierarchy_syndicate_of_death,"Syndicate of Death Crest (Hierarchy)",sub_house_crest,A,512x512,P1,"void-black ground, bruise-violet accent","Centred crest. Inverted Thalorian liturgical symbol, ritual blade through it. Material: corroded ceremonial silver. Mood: ""sacrificial ceremonies inverted from Thalorian liturgy."""
sub_house_banner_hierarchy_syndicate_of_death,"Syndicate of Death Banner",sub_house_banner,A,1024x256,P1,"void-black, bruise-violet accent","Horizontal banner. Inverted-liturgy motif, candle-soot smudges, ceremonial blade pattern. No text."
sub_house_crest_hierarchy_research_and_development,"R&D Division Crest (Hierarchy)",sub_house_crest,A,512x512,P2,"void-black ground, sodium-amber accent","Centred crest. Demonic instrument schematic — calipers, tuning-fork, ritual sigil — arranged as if patent diagram. Material: amber-glow on black drafting paper. Mood: ""the slow industrial automation of damnation."""
sub_house_banner_hierarchy_research_and_development,"R&D Division Banner",sub_house_banner,A,1024x256,P2,"void-black, sodium-amber accent","Horizontal banner. Schematic-style ritual instrument repeated. Drafting-paper texture."
sub_house_crest_antiquarian_shelfmates,"Shelf-mates Crest (Antiquarian)",sub_house_crest,A,512x512,P1,"library-umber ground, citation-gold accent","Centred crest. Three stacked volumes spine-out, citation ribbon binding them. Material: gilt-edged paper, age-darkened leather. Mood: ""provenance is sacred; attribution is canonical."""
sub_house_banner_antiquarian_shelfmates,"Shelf-mates Banner",sub_house_banner,A,1024x256,P1,"library-umber, citation-gold accent","Horizontal banner. Long shelf-edge view, ribbons hanging between volumes. No text."
sub_house_portrait_antiquarian_shelfmates,"Daniel Cross, the Antiquarian",sub_house_portrait,B,768x1024,P1,"library-umber, citation-gold accent","Three-quarter portrait of Daniel Cross at a reading desk. Painterly, single warm 2700K key from frame-right, mid-ground stacks fading into haze. Mood: bibliographic order."
sub_house_crest_antiquarian_casino,"Casino Floor Crest (Antiquarian)",sub_house_crest,A,512x512,P1,"library-umber ground, neon-magenta accent","Centred crest. Three-card spread frozen mid-deal, prices branching upward into superposition. Material: neon-magenta over felt. Mood: ""knowing isn't the point; the spread is."""
sub_house_banner_antiquarian_casino,"Casino Floor Banner",sub_house_banner,A,1024x256,P1,"library-umber, neon-magenta accent","Horizontal banner. Card-spread motif tiled. Felt texture, neon trim."
sub_house_portrait_antiquarian_casino,"The Degen (Casino Floor)",sub_house_portrait,B,768x1024,P1,"library-umber, neon-magenta accent","Three-quarter portrait of The Degen at the felt. Painterly, single magenta 4500K key from below, mid-ground market boards flickering. Mood: aleatory information market."
sub_house_crest_antiquarian_cross_references_desk,"Cross-References Desk Crest (Antiquarian)",sub_house_crest,A,512x512,P2,"library-umber ground, ink-blue accent","Centred crest. Margin-note quill crossing a citation ribbon, timeline arrow walking backward. Material: ink-blue over umber. Mood: ""timelines walked backward."""
