row_id,speaker,voice_profile,stability,similarity,style,use_speaker_boost,text,direction,priority
antiq_s6_l01,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"You came back.<break time=""500ms""/>That is the part we were not certain of.","Measured, quiet. Half-beat on 'came back.' The word 'we' lands with an almost-turn toward the Enigma, not a full one.",P0
antiq_s6_l02,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"I was executed for what I thought.<break time=""600ms""/>I woke up in the next era.","The canonical confession. Flat, factual, no self-pity. The 600ms break between the two clauses is non-negotiable.",P0
antiq_s6_l03,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"Across Ages.<break time=""400ms""/>Across the death of stars.<break time=""400ms""/>I have been waiting in rooms very much like this one.","The permitted canonical phrasing per §9.6. Two short pauses, neither punched.",P0
antiq_s6_l04,The Antiquarian,antiq_fc_1,0.65,0.85,0.30,true,"The song you heard a few minutes ago.<break time=""500ms""/>It was recorded a very long time ago, by someone you will never meet.","He means the Engineer. He does not say his name. He does not need to.",P0
antiq_s6_l05,The Antiquarian,antiq_fc_1,0.65,0.85,0.30,true,"He was not one of us.<break time=""400ms""/>He died before any of this had a shape. His death is the shape.","Core reveal — the Engineer is the seed, not a Witness. 'His death is the shape' lands softly, not for emphasis.",P0
antiq_s6_l06,The Antiquarian,antiq_fc_1,0.65,0.85,0.30,true,"The voice you heard carrying his words —<break time=""400ms""/>she also died for what she thought.<break time=""500ms""/>She also woke up in the next era.","Indirect reference to the Enigma. He does not name her. 'Carrying' is emphasized lightly; she is the carrier, he is the keeper. His eye-line shifts once to the Enigma and back.",P0
antiq_s6_l07,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"She has chosen silence tonight.<break time=""400ms""/>You will hear her voice again when she is ready to give it to you, and not before.","Licenses her silence in-fiction. Canon-safe — does not promise when she speaks, only that she will.",P0
antiq_s6_l08,The Antiquarian,antiq_fc_1,0.70,0.85,0.20,true,"So: what was begun in him,<break time=""400ms""/>carried by her,<break time=""500ms""/>now waits.<break time=""600ms""/>In you.","Pivot to the player. Long build of pauses. 'In you' is the softest two syllables in the scene. Do not emphasize.",P0
antiq_s6_l09,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"A thing was begun, and it has not finished.<break time=""600ms""/>It can continue in the weight you agree to carry, or it can end here, in this room, with us.","Still measured. No pressure in the voice. He is describing a door, not a demand.",P0
antiq_s6_l10,The Antiquarian,antiq_fc_1,0.75,0.85,0.20,true,"Will you carry it?","The ask. Four syllables. Leave 1.0s of silence after the render — the dialog UI fades in on that silence.",P0
antiq_s6_l11a,The Antiquarian,antiq_fc_1,0.65,0.85,0.35,true,"Then we have not waited in vain.<break time=""500ms""/>Go carefully. The road does not forgive hurry.","ACCEPT branch. Warmth allowed on 'we have not waited in vain.' Closing advice gentle, not foreboding.",P0
antiq_s6_l11b,The Antiquarian,antiq_fc_1,0.72,0.85,0.25,true,"Then we will wait longer.<break time=""500ms""/>We have learned how.","DECLINE branch. No rebuke. Calm. 'We have learned how' lands with the specific tiredness of someone who has done it before.",P0
antiq_s6_l11c,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"Ask, then.<break time=""400ms""/>Tonight, an answer costs nothing.","DEFLECT branch entry. Open, patient. Licenses the follow-up — the player's question is dialog-UI text, not voiced.",P0
antiq_s6_l12c,The Antiquarian,antiq_fc_1,0.70,0.85,0.25,true,"What we are is not the question.<break time=""400ms""/>What you do with what you have heard tonight — that is the question.<break time=""500ms""/>Consider it, and come back when you can.","DEFLECT catch-all. Canon-safe response closes the deflect branch without revealing anything forbidden. Plays when the player's question isn't one of the four scripted variants.",P0
antiq_s6_l12c_v1,The Antiquarian,antiq_fc_1,0.63,0.85,0.35,true,"He was an engineer.<break time=""400ms""/>He built the tool that ended him, and he chose the shape of its use.<break time=""500ms""/>That is not a tragedy. That is craft.<break time=""600ms""/>He kept one name at the end — the Prince.<break time=""400ms""/>He believed it was the only name he was allowed to keep.","DEFLECT v1 (who was he?). Warmest line in the scene. 'Craft' lands flat, not proud. 'The Prince' is the only permitted name-reveal; give it the same weight as surrounding clauses.",P0
antiq_s6_l12c_v2,The Antiquarian,antiq_fc_1,0.72,0.85,0.25,true,"Long enough that the word itself has worn smooth.<break time=""500ms""/>Short enough, still, that I remember what I was waiting for.<break time=""600ms""/>Measure it any way you like.<break time=""400ms""/>The important part is not the length.<break time=""400ms""/>The important part is that you have arrived.","DEFLECT v2 (how long waiting?). Do not quantify. Subjective answer is the point. Tired warmth. 'Worn smooth' is a hand-gesture line — breathe the 'sh' of 'smooth'.",P0
antiq_s6_l12c_v3,The Antiquarian,antiq_fc_1,0.72,0.85,0.20,true,"Then the work continues without you for a little longer.<break time=""400ms""/>It has done so before.<break time=""500ms""/>We will be here when you come back to the question.<break time=""400ms""/>We have nothing else on our calendars.","DEFLECT v3 (what if I say no?). Dryest line in the scene. 'Nothing else on our calendars' is a quiet joke — deliver straight, no wink. Canon-safe: does not pre-commit the player to decline.",P0
antiq_s6_l12c_v4,The Antiquarian,antiq_fc_1,0.68,0.85,0.30,true,"You are not chosen.<break time=""400ms""/>No one is.<break time=""500ms""/>You are the one whose feet crossed this threshold tonight.<break time=""500ms""/>That turns out to be enough.<break time=""400ms""/>It always turns out to be enough.","DEFLECT v4 (why me?). Rejects destiny framing outright — important canon guardrail. 'It always turns out to be enough' lands with the specific certainty of someone who has seen it happen before. Do not emphasize 'always'.",P0
antiq_s6_l13,The Antiquarian,antiq_fc_1,0.72,0.85,0.20,true,"We will be here.<break time=""400ms""/>We have nowhere else we are expected to be.","Licenses the Witnesses' canonical standing posture. Final breath low.",P0
antiq_s6_l14,The Antiquarian,antiq_fc_1,0.70,0.85,0.18,true,"End of memoir.<break time=""600ms""/>The next breath is yours.","Closing line. Delivered softer than anything else in the scene. The 'End of Act 1' title card fades in on the final syllable.",P0
